,Energy (kcal),Protein (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Carbohydrates (g),Sugars (g),Sodium (mg)
hotcake-2pcs,216.0,5.6,5.5,1.2,0.0,35.7,8.4,375.0
hotcakes-3pcs,323.0,8.4,8.2,1.7,0.0,53.5,12.6,563.0
deluxe-breakfast,597.0,23.3,38.5,10.0,0.8,38.2,3.1,1063.0
hotcakes-with-sausage-hash-browns,637.0,15.5,34.2,8.3,0.0,66.3,13.2,1193.0
jumbo-breakfast,813.0,28.9,44.0,11.2,0.8,74.0,11.5,1438.0
grilled-chicken-twisty-pasta-original,335.0,25.5,7.2,2.2,0.0,43.1,4.9,1862.0
ham-n-egg-twisty-pasta-original,435.0,19.6,21.4,7.2,0.0,41.5,5.1,1672.0
sausage-n-egg-twisty-pasta-original,452.0,20.5,22.9,7.8,0.0,41.8,4.9,1714.0
grilled-chicken-twisty-pasta-tonkotsu,347.0,26.1,7.4,2.5,0.0,44.9,4.7,1255.0
ham-n-egg-twisty-pasta-tonkotsu,447.0,20.2,21.5,7.5,0.0,43.3,4.9,1064.0
sausage-n-egg-twisty-pasta-tonkotsu,469.0,20.9,23.9,8.2,0.0,43.2,4.8,1096.0
